k id,k x,k y,k z,k accel,k steer,k steer angle,k speed,k max speed,k boost,k brake,k nitro,b x,b y,b z,b not moving,closest k x,closest k y,closest k z,blue t goal,red t goal,ball aim x,ball aim y,ball aim z
0.000000,-0.009786,0.292094,-51.969574,1.000000,0.000580,0.290631,4.095258,14.250001,1.000000,0.000000,0.000000,0.004125,5.442332,-0.035641,1.000000,-0.047018,0.292235,51.123272,1.000000,0.000000,0.004125,5.442332,-2.563534
1.000000,-30.391157,0.282231,24.780760,0.000000,-0.749962,0.257777,5.196486,14.250001,0.000000,1.000000,0.000000,-27.933128,0.369813,23.015167,0.000000,-15.483190,0.277965,19.978415,0.000000,0.000000,-28.416576,0.369813,24.529819
0.000000,-15.483190,0.277965,19.978415,1.000000,-1.000000,0.131292,9.436061,14.250001,1.000000,0.000000,0.000000,-27.933128,0.369813,23.015167,0.000000,-30.353149,0.281859,24.804007,0.000000,0.000000,-28.820597,0.369813,21.695965
1.000000,-26.079069,0.265614,26.769741,0.000000,-0.583087,0.101855,13.312754,14.250001,0.000000,1.000000,0.000000,-25.264498,0.369813,25.280014,0.000000,-12.273660,0.282612,17.228123,0.000000,0.000000,-25.695185,0.369813,26.810505
0.000000,-12.273660,0.282612,17.228123,1.000000,1.000000,0.184940,7.637863,14.250001,1.000000,0.000000,0.000000,-25.264498,0.369813,25.280014,0.000000,-25.975645,0.265519,26.812193,0.000000,0.000000,-26.124910,0.369813,23.943008
1.000000,-19.197176,0.265164,27.500963,1.000000,-0.848903,0.098287,14.250001,14.250001,0.000000,0.000000,0.000000,-21.797991,0.369813,24.863684,0.000000,-8.714973,0.276759,16.922844,0.000000,0.000000,-22.174768,0.369813,26.408331
0.000000,-8.714973,0.276759,16.922844,1.000000,0.045930,0.161230,8.432585,14.250001,1.000000,0.000000,0.000000,-21.797991,0.369813,24.863684,0.000000,-19.082794,0.265164,27.469887,0.000000,0.000000,-22.563482,0.369813,23.470158
1.000000,-12.951604,0.265165,24.172762,1.000000,1.000000,0.098287,14.250000,14.250001,0.000000,0.000000,0.000000,-17.676519,0.369813,23.022709,0.000000,-3.479247,0.274165,17.414221,0.000000,0.000000,-17.991276,0.369813,24.581177
0.000000,-3.479247,0.274165,17.414221,1.000000,-0.312265,0.111115,10.880463,14.250001,1.000000,0.000000,0.000000,-17.676519,0.369813,23.022709,0.000000,-12.846330,0.265165,24.118299,0.000000,0.000000,-18.299114,0.369813,21.559744
1.000000,-6.291208,0.265477,21.694269,1.000000,-0.110446,0.098339,14.236436,14.250001,0.000000,0.000000,0.000000,-13.011057,0.369813,20.899601,0.000000,1.518726,0.277756,16.786520,0.000000,0.000000,-13.250528,0.369813,22.471397
0.000000,1.518726,0.277756,16.786520,1.000000,-1.000000,0.128658,9.524356,14.250001,1.000000,0.000000,0.000000,-13.011057,0.369813,20.899601,0.000000,-6.181294,0.265514,21.650532,0.000000,0.000000,-13.464905,0.369813,19.375818
1.000000,0.008367,0.267834,18.933294,1.000000,-0.048677,0.101799,13.327451,14.250001,0.000000,0.000000,0.000000,-7.790062,0.369813,18.517685,0.000000,4.666567,0.277860,13.619397,0.000000,0.000000,-7.938603,0.369813,20.100666
